,object_ID,Centroid_X,Centroid_Y,TimePoint,Track_ID
684,685,499.1077050538525,322.31234465617234,33,0
685,686,149.89966763606148,414.55629414208556,33,0
686,687,385.86504777070064,414.9920382165605,33,0
687,688,244.7443793689779,445.67466465142644,33,0
688,689,484.9781500364166,461.482884195193,33,0
689,690,700.6328407224959,493.31954022988504,33,0
690,691,447.97866483138336,518.7006194081212,33,0
691,692,323.7909715407262,529.6287209682696,33,0
692,693,540.3672191528545,543.7716390423573,33,0
693,694,640.918057663126,581.4424886191199,33,0
694,695,317.0330820770519,626.0506700167505,33,0
695,696,416.58761467889906,669.1495412844037,33,0
696,697,630.7858926342072,692.9322721598003,33,0
697,698,733.0132694434205,938.2535938075931,33,0
698,699,566.0694854146182,28.21697803998689,34,0
699,700,242.81650919940327,87.09597215315763,34,0
700,701,110.86642284918148,152.1342737722048,34,0
701,702,827.2217257749232,177.66908684724936,34,0
702,703,396.7100717512623,287.8705819824608,34,0
703,704,497.4884004884005,321.24908424908426,34,0
704,705,149.5707518022657,415.46858908341915,34,0
705,706,383.6889149102264,412.89851678376266,34,0
706,707,245.1808731808732,445.2096012096012,34,0
707,708,485.18191414496835,463.0869106263195,34,0
708,709,702.7939476368582,493.32641958517513,34,0
709,710,448.16449623029473,520.0644276901987,34,0
710,711,322.87394411955813,529.6081871345029,34,0
711,712,543.301811594203,545.6420289855073,34,0
712,713,641.7310847766636,583.3305986022485,34,0
713,714,324.7574750830565,624.7322259136213,34,0
714,715,308.56288659793813,639.5051546391752,34,0
715,716,419.626215840667,671.7174617878647,34,0
716,717,625.4122398260329,694.8825722273998,34,0
717,718,732.0993328391401,937.9410674573759,34,0
718,719,566.2628815228093,28.32687889727601,35,0
719,720,245.7520701412567,87.01315148563079,35,0
720,721,109.7280625543006,149.88097306689835,35,0
721,722,827.8551128448036,177.96600724435777,35,0
722,723,396.93233674272227,289.76685024914764,35,0
723,724,496.7049441786284,320.274322169059,35,0
724,725,12.661165048543689,320.02815533980583,35,0
