OBJECT_ID,CENTROID // MEAN_X_(PX),CENTROID // MEAN_Y_(PX),TIMEPOINT,TRACK_ID
169,435,451,7,0
170,439.5,650.5,7,0
171,445,534,7,0
172,496.142623,330.6377049,7,0
173,519,604,7,0
174,530,531,7,0
175,535.5,759,7,0
176,573,40,7,0
177,636.3776897,687.9195923,7,0
178,642,583,7,0
179,684,494,7,0
180,709.5,816,7,0
181,722,914,7,0
182,826,180,7,0
183,874.5,755,7,0
184,892.7013301,705.3599355,7,0
185,78.45879253,198.8172017,8,0
186,145,416,8,0
187,203,100.5,8,0
188,242.6283701,456.5422794,8,0
189,323,530,8,0
190,340.4309783,598.0092391,8,0
191,398,305,8,0
192,428,453,8,0
193,438.5,650.5,8,0
194,445,534,8,0
195,495,332.5,8,0
196,520,602.5,8,0
197,529,531,8,0
198,536.002693,757.0152603,8,0
199,573,40,8,0
200,632.6364978,689.5818987,8,0
201,642,583,8,0
202,684.5,494,8,0
203,710,815,8,0
204,723,913.5,8,0
205,830,183,8,0
206,865,759.5,8,0
207,890,707.5,8,0
208,81.46087398,196.3020833,9,0
209,144,416,9,0
210,206,101,9,0
211,241.1190765,459.0361482,9,0
212,323,530,9,0
213,338.7153189,600.1794872,9,0
214,396,305,9,0
215,436.5,654.5,9,0
216,434,454,9,0
217,449,533,9,0
218,496.022779,330.4527335,9,0
219,518.6709337,602.1106928,9,0
220,529.5,531,9,0
221,528,764,9,0
222,573,40,9,0
223,633.4939467,691.042615,9,0
224,642,583,9,0
225,687.5,492,9,0
226,709,815,9,0
227,725,913,9,0
228,829.5,183,9,0
229,864.5,762,9,0
230,888.2392704,708.7430258,9,0
231,84.01196172,195.9301435,10,0
232,144,415,10,0
233,207,101,10,0
234,243,457.5,10,0
235,323,530,10,0
236,337.5466583,601.0214376,10,0
237,396,305,10,0
238,435,657,10,0
239,450.6119829,533.8323823,10,0
240,442,446,10,0
241,499,327.5,10,0
242,511,608.5,10,0
243,529.0092807,763.5382831,10,0
244,530,531,10,0
245,573,40,10,0
246,633.0676891,690.6298255,10,0
247,645,580,10,0
248,688,491,10,0
249,709,815,10,0
250,724.5,913,10,0
251,828,181,10,0
252,862,762,10,0
253,890.4173069,707.1904569,10,0
254,83.24020076,194.2433078,11,0
255,144,416,11,0
256,209.5,100,11,0
257,246.9673243,454.4913687,11,0
258,323,530,11,0
259,338,595.5,11,0
260,396,305,11,0
261,433.6505495,653.6483516,11,0
262,443.5260116,451.0433526,11,0
263,453.868191,534.131809,11,0
264,499,328,11,0
265,514,610,11,0
266,528.5,764,11,0
267,530,531,11,0
268,573,40,11,0
269,633.0172606,691.0595768,11,0
270,645,580,11,0
271,687,493,11,0
272,701,818,11,0
273,727,913,11,0
274,828,181,11,0
275,864,762,11,0
276,887.7302885,705.8634615,11,0
277,83.3575934,191.426492,12,0
278,146,416,12,0
279,213,97.5,12,0
280,246.7744548,454.7320872,12,0
281,322.5472665,528.977221,12,0
282,339.7030223,598.1773982,12,0
283,396,305,12,0
284,432.6982507,653.8360058,12,0
285,446.2327791,443.3420428,12,0
286,453,531,12,0
287,499.4328753,328.5327696,12,0
288,514,609.5,12,0
289,526.5,764,12,0
290,532,530,12,0
291,573,40,12,0
292,636.5622983,689.0296966,12,0
293,645,580,12,0
294,687,493,12,0
295,702,818,12,0
296,728,921,12,0
297,826,179.5,12,0
298,865,761.5,12,0
299,891.6037435,707.9494225,12,0
300,83.09594365,189.8902113,13,0
301,149.1701149,414.6157635,13,0
302,214.9240168,94.89767087,13,0
303,244.0692612,458.5207784,13,0
304,320,526,13,0
305,339,600,13,0
306,396,305,13,0
307,431.5420136,654.5124905,13,0
308,453,532,13,0
309,443,452,13,0
310,498.4638783,327.9891363,13,0
311,512,611.5,13,0
312,525.0117532,763.5122429,13,0
313,533,530,13,0
314,573,40,13,0
315,641.5,583,13,0
316,640,690,13,0
317,687,493,13,0
318,706,821,13,0
319,728,922,13,0
320,828,182,13,0
321,862.5,756,13,0
322,894.7041377,715.2054193,13,0
323,87.84142788,186.3839242,14,0
324,151,412,14,0
325,217,93.5,14,0
326,247.1752468,450.5814528,14,0
327,320,526,14,0
328,337.9510309,606.492268,14,0
329,396,305,14,0
330,425,658.5,14,0
331,446.9522727,452.2136364,14,0
332,453,531,14,0
333,495.6916039,331.1560818,14,0
334,511.1657049,612.6529266,14,0
335,528.6524752,763.6792079,14,0
336,533,529,14,0
337,573,40,14,0
338,640,583,14,0
339,640,690,14,0
340,691.2414175,496.7585825,14,0
341,704,821,14,0
342,728,924,14,0
343,828.3363482,180.8569813,14,0
344,867,760,14,0
345,889.8497135,707.9911855,14,0
346,91.35871886,184.8982206,15,0
347,151,412,15,0
348,219,93,15,0
349,246.1724739,451.3725319,15,0
350,321,527,15,0
351,336.7730015,607.5263952,15,0
352,396,305,15,0
353,425,651.5,15,0
354,445.8484108,450.7261614,15,0
355,453,526,15,0
356,495,332.5,15,0
357,504.5285235,613.511745,15,0
358,526.6773869,766.7105528,15,0
359,533,529,15,0
360,573,40,15,0
361,639,581,15,0
362,640,694,15,0
363,694.6195715,496.3804285,15,0
364,708,821,15,0
365,728,923,15,0
366,831.4527335,181.977221,15,0
367,866.5,760,15,0
368,893.2097674,711.7288372,15,0
369,93.13726027,178.0178082,16,0
370,151,412,16,0
371,219,93.5,16,0
372,246.998375,447.0048749,16,0
373,321,528.5,16,0
374,334.2446873,612.3995143,16,0
375,396,303,16,0
376,422,651,16,0
377,438,434,16,0
378,453,524,16,0
379,496,330,16,0
380,500.0702371,615.4626866,16,0
381,528.5,766,16,0
382,533,529,16,0
